img, IoU_img, TP, FP, FN, TN, accuracy, precision, recall, F1, TPR, FPR
batch_1/000119.JPG,0.503,0,5,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_1/000120.JPG,0.153,0,0,2,0,0.0,0,0.0,0,0.0,0,
batch_1/000121.JPG,0.923,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,
batch_1/000122.JPG,0.873,1,2,0,1,0.5,0.333,1.0,0.5,1.0,0.667,
batch_1/000004.jpg,0.31,1,0,0,1,1.0,1.0,1.0,1.0,1.0,0.0,
batch_1/000124.JPG,0.655,1,5,2,2,0.3,0.167,0.333,0.222,0.333,0.714,
batch_1/000127.JPG,0.434,3,0,7,2,0.417,1.0,0.3,0.462,0.3,0.0,
batch_1/000128.JPG,0.317,3,13,10,9,0.343,0.188,0.231,0.207,0.231,0.591,
batch_1/000129.JPG,0.503,0,3,7,0,0.0,0.0,0.0,0,0.0,1.0,
batch_10/000000.jpg,0.839,0,0,1,0,0.0,0,0.0,0,0.0,0,
batch_10/000001.jpg,0.763,12,5,1,2,0.7,0.706,0.923,0.8,0.923,0.714,
batch_10/000002.jpg,0.899,0,3,6,0,0.0,0.0,0.0,0,0.0,1.0,
batch_10/000003.jpg,0.605,6,0,8,7,0.619,1.0,0.429,0.6,0.429,0.0,
batch_10/000004.jpg,0.566,8,4,3,2,0.588,0.667,0.727,0.696,0.727,0.667,
batch_10/000005.jpg,0.746,3,5,6,1,0.267,0.375,0.333,0.353,0.333,0.833,
batch_10/000006.jpg,0.436,3,0,1,1,0.8,1.0,0.75,0.857,0.75,0.0,
batch_10/000007.jpg,0.953,0,0,2,0,0.0,0,0.0,0,0.0,0,
batch_10/000008.jpg,0,0,0,3,0,0.0,0,0.0,0,0.0,0,
batch_10/000009.jpg,0,2,0,0,1,1.0,1.0,1.0,1.0,1.0,0.0,
batch_10/000010.jpg,0,0,1,2,0,0.0,0.0,0.0,0,0.0,1.0,
batch_10/000011.jpg,0.175,4,39,10,3,0.125,0.093,0.286,0.14,0.286,0.929,
batch_10/000012.jpg,0.14,0,10,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_10/000013.jpg,0,0,1,2,0,0.0,0.0,0.0,0,0.0,1.0,
batch_10/000014.jpg,0.04,2,0,1,10,0.923,1.0,0.667,0.8,0.667,0.0,
batch_10/000015.jpg,0,3,0,2,2,0.714,1.0,0.6,0.75,0.6,0.0,
batch_10/000016.jpg,0.002,0,12,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_10/000017.jpg,0.002,1,0,0,66,1.0,1.0,1.0,1.0,1.0,0.0,
batch_10/000018.jpg,0,0,20,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_10/000019.jpg,0.01,1,13,0,78,0.859,0.071,1.0,0.133,1.0,0.143,
batch_10/000020.jpg,0.002,0,8,11,0,0.0,0.0,0.0,0,0.0,1.0,
batch_10/000021.jpg,0.31,0,4,7,0,0.0,0.0,0.0,0,0.0,1.0,
batch_10/000022.jpg,0.326,0,5,4,0,0.0,0.0,0.0,0,0.0,1.0,
batch_10/000023.jpg,0,0,3,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_10/000024.jpg,0,1,11,0,5,0.353,0.083,1.0,0.154,1.0,0.688,
batch_10/000025.jpg,0.936,0,3,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_10/000026.jpg,0.362,1,5,2,3,0.364,0.167,0.333,0.222,0.333,0.625,
batch_10/000027.jpg,0,0,1,4,0,0.0,0.0,0.0,0,0.0,1.0,
batch_10/000028.jpg,0,0,1,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_10/000029.jpg,0.157,1,0,3,2,0.5,1.0,0.25,0.4,0.25,0.0,
batch_10/000030.jpg,0,0,9,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_10/000031.jpg,0,0,7,2,0,0.0,0.0,0.0,0,0.0,1.0,
batch_10/000032.jpg,0.001,0,0,1,0,0.0,0,0.0,0,0.0,0,
batch_10/000033.jpg,0.193,3,1,0,3,0.857,0.75,1.0,0.857,1.0,0.25,
batch_10/000034.jpg,0.878,0,2,21,0,0.0,0.0,0.0,0,0.0,1.0,
batch_10/000035.jpg,0.766,0,0,17,0,0.0,0,0.0,0,0.0,0,
batch_10/000036.jpg,0.0,2,22,13,2,0.103,0.083,0.133,0.103,0.133,0.917,
batch_10/000037.jpg,0.212,0,5,5,0,0.0,0.0,0.0,0,0.0,1.0,
batch_10/000038.jpg,0.616,0,2,4,0,0.0,0.0,0.0,0,0.0,1.0,
batch_10/000039.jpg,0.002,1,0,0,1,1.0,1.0,1.0,1.0,1.0,0.0,
batch_10/000040.jpg,0,0,1,2,0,0.0,0.0,0.0,0,0.0,1.0,
batch_10/000041.jpg,0.007,0,4,5,0,0.0,0.0,0.0,0,0.0,1.0,
batch_10/000042.jpg,0.068,0,2,3,0,0.0,0.0,0.0,0,0.0,1.0,
batch_10/000043.jpg,0.018,0,4,7,0,0.0,0.0,0.0,0,0.0,1.0,
batch_10/000044.jpg,0.305,1,0,0,2,1.0,1.0,1.0,1.0,1.0,0.0,
batch_10/000045.jpg,0,0,1,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_10/000046.jpg,0.22,0,4,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_10/000047.jpg,0.38,0,0,5,0,0.0,0,0.0,0,0.0,0,
batch_10/000048.jpg,0.249,3,0,2,2,0.714,1.0,0.6,0.75,0.6,0.0,
batch_10/000049.jpg,0.002,0,0,2,0,0.0,0,0.0,0,0.0,0,
batch_10/000050.jpg,0.593,5,1,5,1,0.5,0.833,0.5,0.625,0.5,0.5,
batch_10/000051.jpg,0,0,1,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_10/000052.jpg,0.041,1,1,0,2,0.75,0.5,1.0,0.667,1.0,0.333,
batch_10/000053.jpg,0.419,0,4,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_10/000054.jpg,0.001,0,3,2,0,0.0,0.0,0.0,0,0.0,1.0,
batch_10/000055.jpg,0,0,1,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_10/000056.jpg,0,0,1,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_10/000057.jpg,0.561,0,4,2,0,0.0,0.0,0.0,0,0.0,1.0,
batch_10/000058.jpg,0.347,0,3,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_10/000059.jpg,0,0,1,2,0,0.0,0.0,0.0,0,0.0,1.0,
batch_10/000060.jpg,0.155,0,4,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_10/000061.jpg,0.155,0,10,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_10/000062.jpg,0,0,1,3,0,0.0,0.0,0.0,0,0.0,1.0,
batch_10/000063.jpg,0.392,0,0,2,0,0.0,0,0.0,0,0.0,0,
batch_10/000064.jpg,0.002,0,6,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_10/000065.jpg,0.107,0,2,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_10/000066.jpg,0,0,2,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_10/000067.jpg,0,0,1,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_10/000068.jpg,0,0,14,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_10/000069.jpg,0.001,0,5,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_10/000070.jpg,0.193,2,2,0,3,0.714,0.5,1.0,0.667,1.0,0.4,
batch_10/000071.jpg,0.154,1,1,1,3,0.667,0.5,0.5,0.5,0.5,0.25,
batch_10/000072.jpg,0,0,1,2,0,0.0,0.0,0.0,0,0.0,1.0,
batch_10/000073.jpg,0.002,0,2,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_10/000074.jpg,0.006,0,4,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_10/000075.jpg,0.003,0,57,3,0,0.0,0.0,0.0,0,0.0,1.0,
batch_10/000076.jpg,0.205,2,7,2,2,0.308,0.222,0.5,0.308,0.5,0.778,
batch_10/000077.jpg,0.255,0,4,2,0,0.0,0.0,0.0,0,0.0,1.0,
batch_10/000078.jpg,0.213,0,7,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_10/000079.jpg,0.39,0,1,2,0,0.0,0.0,0.0,0,0.0,1.0,
batch_10/000080.jpg,0.148,1,4,0,1,0.333,0.2,1.0,0.333,1.0,0.8,
batch_10/000081.jpg,0.225,1,1,3,1,0.333,0.5,0.25,0.333,0.25,0.5,
batch_10/000082.jpg,0.005,0,1,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_10/000083.jpg,0.114,1,1,4,4,0.5,0.5,0.2,0.286,0.2,0.2,
batch_10/000084.jpg,0.137,2,2,3,1,0.375,0.5,0.4,0.444,0.4,0.667,
batch_10/000085.jpg,0.355,3,0,6,5,0.571,1.0,0.333,0.5,0.333,0.0,
batch_10/000086.jpg,0.03,0,0,7,0,0.0,0,0.0,0,0.0,0,
batch_10/000087.jpg,0.231,0,1,3,0,0.0,0.0,0.0,0,0.0,1.0,
batch_10/000088.jpg,0.253,0,2,2,0,0.0,0.0,0.0,0,0.0,1.0,
batch_10/000089.jpg,0.007,5,0,0,4,1.0,1.0,1.0,1.0,1.0,0.0,
batch_10/000090.jpg,0.001,4,0,1,3,0.875,1.0,0.8,0.889,0.8,0.0,
batch_10/000091.jpg,0.06,3,2,1,4,0.7,0.6,0.75,0.667,0.75,0.333,
batch_10/000092.jpg,0.049,1,0,1,4,0.833,1.0,0.5,0.667,0.5,0.0,
batch_10/000093.jpg,0.223,11,0,3,3,0.824,1.0,0.786,0.88,0.786,0.0,
batch_10/000094.jpg,0,4,3,2,1,0.5,0.571,0.667,0.615,0.667,0.75,
batch_10/000095.jpg,0,0,1,2,0,0.0,0.0,0.0,0,0.0,1.0,
batch_10/000096.jpg,0,4,0,2,1,0.714,1.0,0.667,0.8,0.667,0.0,
batch_10/000097.jpg,0.709,0,0,2,0,0.0,0,0.0,0,0.0,0,
batch_10/000098.jpg,0.772,0,3,3,0,0.0,0.0,0.0,0,0.0,1.0,
batch_10/000099.jpg,0.133,0,11,1,0,0.0,0.0,0.0,0,0.0,1.0,
batch_11/000000.jpg,0.629,0,6,3,0,0.0,0.0,0.0,0,0.0,1.0,
